[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.404s][info][metaspace] Reserving compressed class space anywhere
[0.409s][info][gc,metaspace] CDS archive(s) not mapped
[0.409s][info][gc,metaspace] Compressed class space mapped at: 0x0000000037000000-0x00000000f7000000, reserved size: 3221225472
[0.409s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.409s][info][gc,metaspace] Narrow klass base: 0x0000000037000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.429s][info][gc,metaspace] GC(0) Metaspace: 21739K(22016K)->21739K(22016K) NonClass: 18026K(18176K)->18026K(18176K) Class: 3712K(3840K)->3712K(3840K)
[11.045s][info][gc,metaspace] GC(19) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[11.045s][info][gc          ] GC(19) Pause Full (System.gc()) 775M->775M(6144M) 344.916ms
[11.395s][info][gc,metaspace] GC(20) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[11.395s][info][gc          ] GC(20) Pause Full (System.gc()) 775M->775M(6144M) 349.773ms
[11.718s][info][gc,metaspace] GC(21) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[11.718s][info][gc          ] GC(21) Pause Full (System.gc()) 775M->775M(6144M) 322.709ms
[12.045s][info][gc,metaspace] GC(22) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[12.045s][info][gc          ] GC(22) Pause Full (System.gc()) 775M->775M(6144M) 326.384ms
[12.401s][info][gc,metaspace] GC(23) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[12.401s][info][gc          ] GC(23) Pause Full (System.gc()) 775M->775M(6144M) 356.046ms
