[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Parallel
[0.377s][info][metaspace] Reserving compressed class space anywhere
[0.377s][info][gc,metaspace] CDS archive(s) not mapped
[0.377s][info][gc,metaspace] Compressed class space mapped at: 0x0000000007000000-0x00000000c7000000, reserved size: 3221225472
[0.377s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 0, narrow klass pointer bits 26, max shift 6
[0.377s][info][gc,metaspace] Narrow klass base: 0x0000000007000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...
Loading 256...[1.985s][info][gc,metaspace] GC(0) Metaspace: 23063K(23488K)->23063K(23488K) NonClass: 20457K(20672K)->20457K(20672K) Class: 2606K(2816K)->2606K(2816K)
[14.859s][info][gc,metaspace] GC(19) Metaspace: 24002K(24640K)->24002K(24640K) NonClass: 21264K(21568K)->21264K(21568K) Class: 2738K(3072K)->2738K(3072K)
[14.859s][info][gc          ] GC(19) Pause Full (System.gc()) 771M->771M(5888M) 614.464ms
[14.860s][info][gc,metaspace] GC(20) Metaspace: 24002K(24640K)->24002K(24640K) NonClass: 21264K(21568K)->21264K(21568K) Class: 2738K(3072K)->2738K(3072K)
[14.860s][info][gc          ] GC(20) Pause Young (System.gc()) 771M->771M(5888M) 0.452ms
[15.472s][info][gc,metaspace] GC(21) Metaspace: 24002K(24640K)->24002K(24640K) NonClass: 21264K(21568K)->21264K(21568K) Class: 2738K(3072K)->2738K(3072K)
[15.473s][info][gc          ] GC(21) Pause Full (System.gc()) 771M->771M(5888M) 612.772ms
[15.473s][info][gc,metaspace] GC(22) Metaspace: 24002K(24640K)->24002K(24640K) NonClass: 21264K(21568K)->21264K(21568K) Class: 2738K(3072K)->2738K(3072K)
[15.473s][info][gc          ] GC(22) Pause Young (System.gc()) 771M->771M(5888M) 0.661ms
[16.269s][info][gc,metaspace] GC(23) Metaspace: 24002K(24640K)->24002K(24640K) NonClass: 21264K(21568K)->21264K(21568K) Class: 2738K(3072K)->2738K(3072K)
[16.270s][info][gc          ] GC(23) Pause Full (System.gc()) 771M->771M(5888M) 796.224ms
[16.270s][info][gc,metaspace] GC(24) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[16.270s][info][gc          ] GC(24) Pause Young (System.gc()) 771M->771M(5888M) 0.449ms
[16.896s][info][gc,metaspace] GC(25) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[16.896s][info][gc          ] GC(25) Pause Full (System.gc()) 771M->771M(5888M) 626.148ms
[16.897s][info][gc,metaspace] GC(26) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[16.897s][info][gc          ] GC(26) Pause Young (System.gc()) 771M->771M(5888M) 0.448ms
[17.546s][info][gc,metaspace] GC(27) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[17.546s][info][gc          ] GC(27) Pause Full (System.gc()) 771M->771M(5888M) 649.579ms
[17.547s][info][gc,metaspace] GC(28) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[17.547s][info][gc          ] GC(28) Pause Young (System.gc()) 771M->771M(5888M) 0.511ms
[18.197s][info][gc,metaspace] GC(29) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[18.197s][info][gc          ] GC(29) Pause Full (System.gc()) 771M->771M(5888M) 649.878ms
[18.198s][info][gc,metaspace] GC(30) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[18.198s][info][gc          ] GC(30) Pause Young (System.gc()) 771M->771M(5888M) 0.624ms
[18.819s][info][gc,metaspace] GC(31) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[18.819s][info][gc          ] GC(31) Pause Full (System.gc()) 771M->771M(5888M) 621.723ms
[18.820s][info][gc,metaspace] GC(32) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[18.820s][info][gc          ] GC(32) Pause Young (System.gc()) 771M->771M(5888M) 0.507ms
[19.442s][info][gc,metaspace] GC(33) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[19.442s][info][gc          ] GC(33) Pause Full (System.gc()) 771M->771M(5888M) 622.170ms
[19.443s][info][gc,metaspace] GC(34) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[19.443s][info][gc          ] GC(34) Pause Young (System.gc()) 771M->771M(5888M) 0.781ms
[20.100s][info][gc,metaspace] GC(35) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[20.100s][info][gc          ] GC(35) Pause Full (System.gc()) 771M->771M(5888M) 656.629ms
[20.101s][info][gc,metaspace] GC(36) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[20.101s][info][gc          ] GC(36) Pause Young (System.gc()) 771M->771M(5888M) 0.789ms
[20.733s][info][gc,metaspace] GC(37) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[20.733s][info][gc          ] GC(37) Pause Full (System.gc()) 771M->771M(5888M) 631.782ms
[20.733s][info][gc,metaspace] GC(38) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[20.733s][info][gc          ] GC(38) Pause Young (System.gc()) 771M->771M(5888M) 0.498ms
[21.366s][info][gc,metaspace] GC(39) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[21.366s][info][gc          ] GC(39) Pause Full (System.gc()) 771M->771M(5888M) 633.008ms
[21.367s][info][gc,metaspace] GC(40) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[21.367s][info][gc          ] GC(40) Pause Young (System.gc()) 771M->771M(5888M) 0.502ms
[21.993s][info][gc,metaspace] GC(41) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[21.993s][info][gc          ] GC(41) Pause Full (System.gc()) 771M->771M(5888M) 625.933ms
[21.994s][info][gc,metaspace] GC(42) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[21.994s][info][gc          ] GC(42) Pause Young (System.gc()) 771M->771M(5888M) 0.491ms
[22.604s][info][gc,metaspace] GC(43) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[22.604s][info][gc          ] GC(43) Pause Full (System.gc()) 771M->771M(5888M) 610.713ms
[22.605s][info][gc,metaspace] GC(44) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[22.605s][info][gc          ] GC(44) Pause Young (System.gc()) 771M->771M(5888M) 0.448ms
[23.230s][info][gc,metaspace] GC(45) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[23.230s][info][gc          ] GC(45) Pause Full (System.gc()) 771M->771M(5888M) 624.796ms
[23.235s][info][gc,metaspace] GC(46) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[23.235s][info][gc          ] GC(46) Pause Young (System.gc()) 771M->771M(5888M) 0.527ms
[23.859s][info][gc,metaspace] GC(47) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[23.859s][info][gc          ] GC(47) Pause Full (System.gc()) 771M->771M(5888M) 624.626ms
