[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.435s][info][metaspace] Reserving compressed class space anywhere
[0.440s][info][gc,metaspace] CDS archive(s) not mapped
[0.440s][info][gc,metaspace] Compressed class space mapped at: 0x000000003c000000-0x00000000fc000000, reserved size: 3221225472
[0.440s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.440s][info][gc,metaspace] Narrow klass base: 0x000000003c000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.423s][info][gc,metaspace] GC(0) Metaspace: 21726K(22016K)->21726K(22016K) NonClass: 18008K(18176K)->18008K(18176K) Class: 3717K(3840K)->3717K(3840K)
[11.351s][info][gc,metaspace] GC(19) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[11.351s][info][gc          ] GC(19) Pause Full (System.gc()) 775M->775M(6144M) 385.974ms
[11.686s][info][gc,metaspace] GC(20) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[11.686s][info][gc          ] GC(20) Pause Full (System.gc()) 775M->775M(6144M) 334.603ms
[12.029s][info][gc,metaspace] GC(21) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[12.029s][info][gc          ] GC(21) Pause Full (System.gc()) 775M->775M(6144M) 342.906ms
[12.428s][info][gc,metaspace] GC(22) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[12.428s][info][gc          ] GC(22) Pause Full (System.gc()) 775M->775M(6144M) 394.839ms
[12.776s][info][gc,metaspace] GC(23) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[12.776s][info][gc          ] GC(23) Pause Full (System.gc()) 775M->775M(6144M) 348.278ms
